,Strategy 1,Strategy 2,Correlation
18,adx_di_ema,h1_trend_m5_stoch,0.029
395,ema_stochastic_mtf,keltner_rsi,0.029
277,ema_rsi_cross,engulfing_ema,0.029
287,ema_rsi_cross,ichimoku_cloud_break,0.03
906,scalp_pullback,supertrend_rsi_ema,0.03
916,stoch_bb_bounce,trend_mean_reversion,0.031
393,ema_stochastic_mtf,ichimoku_cloud_bounce,0.031
420,engulfing_ema,h1_adx_m5_ema,0.032
307,ema_rsi_cross,trend_mean_reversion,0.032
23,adx_di_ema,ma_ribbon_pullback,0.032
67,adx_rsi_ema,morning_evening_star,0.033
342,ema_stoch_cross,three_bar_reversal,0.033
850,morning_evening_star,trend_momentum_vol,0.033
542,h1_trend_m5_ema_cross,h1_trend_m5_stoch,0.034
940,trend_mean_reversion,trend_momentum_vol,0.034
880,pin_bar_ema,williams_ema,0.034
431,engulfing_ema,macd_bb_breakout,0.035
239,ema_macd_rsi_confluence,morning_evening_star,0.035
191,cci_ema,tweezer_reversal,0.035
263,ema_ribbon_pullback,morning_evening_star,0.036
25,adx_di_ema,macd_divergence,0.036
412,ema_stochastic_mtf,supertrend_rsi_ema,0.037
643,h1_trend_m5_stoch,stoch_ema_trend,0.037
15,adx_di_ema,h1_trend_m5_ema_cross,0.037
325,ema_stoch_cross,keltner_rsi,0.038
11,adx_di_ema,engulfing_ema,0.038
552,h1_trend_m5_ema_cross,marubozu_trend,0.039
770,macd_divergence,stoch_bb_bounce,0.039
718,keltner_rsi,pin_bar_ema,0.039
0,adx_di_ema,adx_rsi_ema,0.039
176,cci_ema,momentum_exhaustion,0.04
544,h1_trend_m5_ema_cross,ichimoku_cloud_bounce,0.04
389,ema_stochastic_mtf,h1_trend_m5_macd,0.04
931,stoch_ema_trend,trend_mean_reversion,0.04
19,adx_di_ema,heikin_ashi_ema,0.04
359,ema_stochastic,ichimoku_cloud_break,0.041
539,h1_trend_m5_bb,williams_ema,0.041
510,h1_trend_m5_bb,h1_trend_m5_macd,0.041
398,ema_stochastic_mtf,macd_divergence,0.042
529,h1_trend_m5_bb,scalp_pullback,0.042
747,macd_bb_breakout,pin_bar_ema,0.042
372,ema_stochastic,rsi_divergence_ema,0.043
910,scalp_pullback,tweezer_reversal,0.043
291,ema_rsi_cross,macd_divergence,0.043
29,adx_di_ema,momentum_exhaustion,0.044
53,adx_rsi_ema,h1_adx_m5_ema,0.044
760,macd_bb_breakout,williams_ema,0.045
553,h1_trend_m5_ema_cross,momentum_exhaustion,0.045
297,ema_rsi_cross,parabolic_sar_ema,0.045
153,cci_ema,ema_ribbon_pullback,0.045
911,scalp_pullback,williams_ema,0.045
337,ema_stoch_cross,rsi_divergence_ema,0.045
730,ma_ribbon_pullback,morning_evening_star,0.045
614,h1_trend_m5_rsi,stoch_bb_bounce,0.045
905,scalp_pullback,stoch_ema_trend,0.046
854,parabolic_sar_ema,pin_bar_ema,0.046
690,ichimoku_cloud_break,macd_bb_breakout,0.046
275,ema_rsi_cross,ema_stochastic,0.046
33,adx_di_ema,rsi_divergence,0.047
116,bb_rsi_bounce,trend_mean_reversion,0.047
558,h1_trend_m5_ema_cross,rsi_divergence_ema,0.048
693,ichimoku_cloud_break,macd_histogram_div,0.048
488,h1_adx_m5_ema,macd_divergence,0.048
451,fib_ema_bounce,h1_adx_m5_ema,0.049
942,trend_mean_reversion,tweezer_reversal,0.049
362,ema_stochastic,macd_bb_breakout,0.05
789,macd_ema_trend,stoch_divergence,0.05
385,ema_stochastic_mtf,fib_ema_bounce,0.051
902,rsi_divergence_ema,williams_ema,0.051
492,h1_adx_m5_ema,momentum_exhaustion,0.051
414,ema_stochastic_mtf,trend_mean_reversion,0.051
785,macd_ema_trend,rsi_divergence,0.051
408,ema_stochastic_mtf,scalp_pullback,0.052
471,fib_ema_bounce,scalp_pullback,0.052
180,cci_ema,rsi_divergence,0.052
286,ema_rsi_cross,ichimoku_cloud_bounce,0.053
30,adx_di_ema,morning_evening_star,0.053
304,ema_rsi_cross,stoch_ema_trend,0.053
549,h1_trend_m5_ema_cross,macd_divergence,0.053
943,trend_mean_reversion,williams_ema,0.054
301,ema_rsi_cross,scalp_pullback,0.054
55,adx_rsi_ema,h1_trend_m5_ema_cross,0.054
453,fib_ema_bounce,h1_trend_m5_ema_cross,0.054
895,rsi_divergence_ema,stoch_ema_trend,0.054
650,h1_trend_m5_stoch,williams_ema,0.054
169,cci_ema,keltner_rsi,0.055
369,ema_stochastic,parabolic_sar_ema,0.055
365,ema_stochastic,macd_histogram_div,0.056
581,h1_trend_m5_macd,morning_evening_star,0.056
876,pin_bar_ema,trend_mean_reversion,0.056
285,ema_rsi_cross,heikin_ashi_ema,0.057
299,ema_rsi_cross,rsi_divergence,0.057
571,h1_trend_m5_macd,h1_trend_m5_stoch,0.057
494,h1_adx_m5_ema,parabolic_sar_ema,0.057
436,engulfing_ema,morning_evening_star,0.058
123,breakout_retest,ema_stoch_cross,0.058
48,adx_rsi_ema,ema_rsi_cross,0.058
417,ema_stochastic_mtf,tweezer_reversal,0.059
912,stoch_bb_bounce,stoch_divergence,0.06
611,h1_trend_m5_rsi,rsi_divergence,0.061
26,adx_di_ema,macd_ema_trend,0.062
759,macd_bb_breakout,tweezer_reversal,0.062
832,momentum_exhaustion,stoch_bb_bounce,0.062
660,heikin_ashi_ema,pin_bar_ema,0.063
161,cci_ema,h1_trend_m5_bb,0.063
370,ema_stochastic,pin_bar_ema,0.064
796,macd_histogram_div,momentum_exhaustion,0.064
646,h1_trend_m5_stoch,trend_mean_reversion,0.064
93,bb_rsi_bounce,h1_trend_m5_stoch,0.064
171,cci_ema,macd_bb_breakout,0.064
79,bb_rsi_bounce,cci_ema,0.064
440,engulfing_ema,rsi_divergence_ema,0.064
27,adx_di_ema,macd_histogram_div,0.065
692,ichimoku_cloud_break,macd_ema_trend,0.065
826,momentum_exhaustion,morning_evening_star,0.066
305,ema_rsi_cross,supertrend_rsi_ema,0.066
856,parabolic_sar_ema,rsi_divergence_ema,0.066
357,ema_stochastic,heikin_ashi_ema,0.066
210,donchian_rsi,morning_evening_star,0.066
288,ema_rsi_cross,keltner_rsi,0.067
869,pin_bar_ema,rsi_divergence_ema,0.067
174,cci_ema,macd_histogram_div,0.067
640,h1_trend_m5_stoch,scalp_pullback,0.068
744,macd_bb_breakout,momentum_exhaustion,0.068
411,ema_stochastic_mtf,stoch_ema_trend,0.069
343,ema_stoch_cross,trend_mean_reversion,0.069
366,ema_stochastic,marubozu_trend,0.069
184,cci_ema,stoch_divergence,0.069
749,macd_bb_breakout,rsi_divergence_ema,0.069
881,rsi_divergence,rsi_divergence_ema,0.069
568,h1_trend_m5_ema_cross,tweezer_reversal,0.07
827,momentum_exhaustion,parabolic_sar_ema,0.071
303,ema_rsi_cross,stoch_divergence,0.071
531,h1_trend_m5_bb,stoch_divergence,0.072
852,morning_evening_star,tweezer_reversal,0.072
574,h1_trend_m5_macd,ichimoku_cloud_break,0.073
403,ema_stochastic_mtf,morning_evening_star,0.073
595,h1_trend_m5_macd,tweezer_reversal,0.073
563,h1_trend_m5_ema_cross,supertrend_rsi_ema,0.073
485,h1_adx_m5_ema,keltner_rsi,0.074
438,engulfing_ema,pin_bar_ema,0.075
306,ema_rsi_cross,three_bar_reversal,0.075
165,cci_ema,h1_trend_m5_stoch,0.075
150,breakout_retest,williams_ema,0.075
292,ema_rsi_cross,macd_ema_trend,0.076
903,scalp_pullback,stoch_bb_bounce,0.076
527,h1_trend_m5_bb,rsi_divergence,0.076
86,bb_rsi_bounce,ema_stochastic_mtf,0.076
554,h1_trend_m5_ema_cross,morning_evening_star,0.076
130,breakout_retest,h1_trend_m5_ema_cross,0.076
122,breakout_retest,ema_rsi_cross,0.077
384,ema_stochastic_mtf,engulfing_ema,0.078
223,ema_macd_rsi_confluence,ema_stoch_cross,0.078
700,ichimoku_cloud_break,rsi_divergence_ema,0.078
490,h1_adx_m5_ema,macd_histogram_div,0.078
716,keltner_rsi,morning_evening_star,0.079
493,h1_adx_m5_ema,morning_evening_star,0.079
334,ema_stoch_cross,parabolic_sar_ema,0.079
335,ema_stoch_cross,pin_bar_ema,0.079
551,h1_trend_m5_ema_cross,macd_histogram_div,0.079
535,h1_trend_m5_bb,trend_mean_reversion,0.08
345,ema_stoch_cross,triple_confirm,0.08
497,h1_adx_m5_ema,rsi_divergence_ema,0.081
249,ema_macd_rsi_confluence,williams_ema,0.081
281,ema_rsi_cross,h1_trend_m5_ema_cross,0.081
354,ema_stochastic,h1_trend_m5_macd,0.082
825,marubozu_trend,williams_ema,0.082
657,heikin_ashi_ema,momentum_exhaustion,0.082
467,fib_ema_bounce,parabolic_sar_ema,0.082
195,donchian_rsi,ema_stochastic,0.083
151,cci_ema,donchian_rsi,0.083
687,ichimoku_cloud_bounce,williams_ema,0.083
308,ema_rsi_cross,trend_momentum_vol,0.084
128,breakout_retest,h1_adx_m5_ema,0.084
502,h1_adx_m5_ema,supertrend_rsi_ema,0.084
56,adx_rsi_ema,h1_trend_m5_macd,0.085
605,h1_trend_m5_rsi,macd_histogram_div,0.085
450,engulfing_ema,williams_ema,0.085
654,heikin_ashi_ema,macd_ema_trend,0.085
642,h1_trend_m5_stoch,stoch_divergence,0.087
945,triple_confirm,williams_ema,0.087
706,ichimoku_cloud_break,three_bar_reversal,0.088
589,h1_trend_m5_macd,stoch_ema_trend,0.088
782,macd_ema_trend,morning_evening_star,0.088
801,macd_histogram_div,rsi_divergence_ema,0.088
662,heikin_ashi_ema,rsi_divergence_ema,0.088
658,heikin_ashi_ema,morning_evening_star,0.089
364,ema_stochastic,macd_ema_trend,0.089
111,bb_rsi_bounce,stoch_bb_bounce,0.09
394,ema_stochastic_mtf,ichimoku_cloud_break,0.091
378,ema_stochastic,three_bar_reversal,0.091
873,pin_bar_ema,stoch_ema_trend,0.092
423,engulfing_ema,h1_trend_m5_macd,0.092
548,h1_trend_m5_ema_cross,macd_bb_breakout,0.094
193,donchian_rsi,ema_rsi_cross,0.094
755,macd_bb_breakout,three_bar_reversal,0.095
630,h1_trend_m5_stoch,macd_divergence,0.096
344,ema_stoch_cross,trend_momentum_vol,0.096
279,ema_rsi_cross,h1_adx_m5_ema,0.096
212,donchian_rsi,pin_bar_ema,0.096
437,engulfing_ema,parabolic_sar_ema,0.097
446,engulfing_ema,three_bar_reversal,0.097
817,marubozu_trend,rsi_divergence_ema,0.098
4,adx_di_ema,donchian_rsi,0.098
505,h1_adx_m5_ema,trend_momentum_vol,0.098
546,h1_trend_m5_ema_cross,keltner_rsi,0.1
221,donchian_rsi,williams_ema,0.1
360,ema_stochastic,keltner_rsi,0.1
326,ema_stoch_cross,ma_ribbon_pullback,0.101
813,marubozu_trend,morning_evening_star,0.101
726,keltner_rsi,williams_ema,0.101
541,h1_trend_m5_ema_cross,h1_trend_m5_rsi,0.101
293,ema_rsi_cross,macd_histogram_div,0.103
828,momentum_exhaustion,pin_bar_ema,0.103
300,ema_rsi_cross,rsi_divergence_ema,0.103
390,ema_stochastic_mtf,h1_trend_m5_rsi,0.103
790,macd_ema_trend,stoch_ema_trend,0.103
590,h1_trend_m5_macd,supertrend_rsi_ema,0.104
251,ema_ribbon_pullback,ema_stoch_cross,0.105
672,ichimoku_cloud_bounce,macd_bb_breakout,0.105
659,heikin_ashi_ema,parabolic_sar_ema,0.106
252,ema_ribbon_pullback,ema_stochastic,0.108
547,h1_trend_m5_ema_cross,ma_ribbon_pullback,0.108
800,macd_histogram_div,rsi_divergence,0.108
250,ema_ribbon_pullback,ema_rsi_cross,0.108
641,h1_trend_m5_stoch,stoch_bb_bounce,0.108
519,h1_trend_m5_bb,macd_divergence,0.108
677,ichimoku_cloud_bounce,morning_evening_star,0.109
480,h1_adx_m5_ema,h1_trend_m5_rsi,0.109
361,ema_stochastic,ma_ribbon_pullback,0.109
313,ema_stoch_cross,ema_stochastic_mtf,0.11
815,marubozu_trend,pin_bar_ema,0.11
310,ema_rsi_cross,tweezer_reversal,0.111
753,macd_bb_breakout,stoch_ema_trend,0.113
102,bb_rsi_bounce,macd_histogram_div,0.113
185,cci_ema,stoch_ema_trend,0.114
367,ema_stochastic,momentum_exhaustion,0.114
897,rsi_divergence_ema,three_bar_reversal,0.114
222,ema_macd_rsi_confluence,ema_rsi_cross,0.114
61,adx_rsi_ema,macd_bb_breakout,0.114
108,bb_rsi_bounce,rsi_divergence,0.116
530,h1_trend_m5_bb,stoch_bb_bounce,0.116
476,fib_ema_bounce,trend_mean_reversion,0.117
939,three_bar_reversal,williams_ema,0.117
572,h1_trend_m5_macd,heikin_ashi_ema,0.118
879,pin_bar_ema,tweezer_reversal,0.118
433,engulfing_ema,macd_ema_trend,0.119
724,keltner_rsi,stoch_ema_trend,0.119
177,cci_ema,morning_evening_star,0.119
615,h1_trend_m5_rsi,stoch_divergence,0.119
652,heikin_ashi_ema,macd_bb_breakout,0.12
566,h1_trend_m5_ema_cross,trend_momentum_vol,0.12
17,adx_di_ema,h1_trend_m5_rsi,0.121
3,adx_di_ema,cci_ema,0.121
278,ema_rsi_cross,fib_ema_bounce,0.121
178,cci_ema,parabolic_sar_ema,0.122
608,h1_trend_m5_rsi,morning_evening_star,0.123
555,h1_trend_m5_ema_cross,parabolic_sar_ema,0.123
503,h1_adx_m5_ema,three_bar_reversal,0.124
678,ichimoku_cloud_bounce,parabolic_sar_ema,0.124
201,donchian_rsi,h1_trend_m5_ema_cross,0.125
131,breakout_retest,h1_trend_m5_macd,0.125
254,ema_ribbon_pullback,h1_adx_m5_ema,0.125
124,breakout_retest,ema_stochastic,0.125
720,keltner_rsi,rsi_divergence_ema,0.125
754,macd_bb_breakout,supertrend_rsi_ema,0.126
391,ema_stochastic_mtf,h1_trend_m5_stoch,0.126
309,ema_rsi_cross,triple_confirm,0.126
50,adx_rsi_ema,ema_stochastic,0.127
596,h1_trend_m5_macd,williams_ema,0.127
711,ichimoku_cloud_break,williams_ema,0.127
570,h1_trend_m5_macd,h1_trend_m5_rsi,0.128
331,ema_stoch_cross,marubozu_trend,0.128
154,cci_ema,ema_rsi_cross,0.128
256,ema_ribbon_pullback,h1_trend_m5_ema_cross,0.129
786,macd_ema_trend,rsi_divergence_ema,0.129
936,supertrend_rsi_ema,williams_ema,0.13
382,ema_stochastic,tweezer_reversal,0.13
576,h1_trend_m5_macd,ma_ribbon_pullback,0.132
573,h1_trend_m5_macd,ichimoku_cloud_bounce,0.132
77,adx_rsi_ema,williams_ema,0.132
24,adx_di_ema,macd_bb_breakout,0.132
486,h1_adx_m5_ema,ma_ribbon_pullback,0.132
506,h1_adx_m5_ema,triple_confirm,0.133
804,macd_histogram_div,stoch_divergence,0.133
218,donchian_rsi,stoch_ema_trend,0.134
289,ema_rsi_cross,ma_ribbon_pullback,0.134
198,donchian_rsi,fib_ema_bounce,0.135
896,rsi_divergence_ema,supertrend_rsi_ema,0.136
477,fib_ema_bounce,williams_ema,0.136
92,bb_rsi_bounce,h1_trend_m5_rsi,0.136
387,ema_stochastic_mtf,h1_trend_m5_bb,0.137
163,cci_ema,h1_trend_m5_macd,0.138
901,rsi_divergence_ema,tweezer_reversal,0.139
862,parabolic_sar_ema,three_bar_reversal,0.139
464,fib_ema_bounce,marubozu_trend,0.139
508,h1_adx_m5_ema,williams_ema,0.14
861,parabolic_sar_ema,supertrend_rsi_ema,0.14
459,fib_ema_bounce,keltner_rsi,0.141
68,adx_rsi_ema,parabolic_sar_ema,0.141
227,ema_macd_rsi_confluence,h1_adx_m5_ema,0.141
709,ichimoku_cloud_break,triple_confirm,0.142
757,macd_bb_breakout,trend_momentum_vol,0.142
830,momentum_exhaustion,rsi_divergence_ema,0.142
594,h1_trend_m5_macd,triple_confirm,0.142
579,h1_trend_m5_macd,marubozu_trend,0.143
126,breakout_retest,engulfing_ema,0.143
234,ema_macd_rsi_confluence,ichimoku_cloud_break,0.143
603,h1_trend_m5_rsi,macd_divergence,0.144
134,breakout_retest,heikin_ashi_ema,0.146
487,h1_adx_m5_ema,macd_bb_breakout,0.146
695,ichimoku_cloud_break,momentum_exhaustion,0.147
458,fib_ema_bounce,ichimoku_cloud_break,0.147
230,ema_macd_rsi_confluence,h1_trend_m5_macd,0.148
593,h1_trend_m5_macd,trend_momentum_vol,0.148
419,engulfing_ema,fib_ema_bounce,0.149
60,adx_rsi_ema,ichimoku_cloud_break,0.15
470,fib_ema_bounce,rsi_divergence_ema,0.151
199,donchian_rsi,h1_adx_m5_ema,0.152
797,macd_histogram_div,morning_evening_star,0.152
875,pin_bar_ema,three_bar_reversal,0.152
187,cci_ema,three_bar_reversal,0.153
814,marubozu_trend,parabolic_sar_ema,0.153
257,ema_ribbon_pullback,h1_trend_m5_macd,0.153
265,ema_ribbon_pullback,pin_bar_ema,0.153
240,ema_macd_rsi_confluence,parabolic_sar_ema,0.153
135,breakout_retest,ichimoku_cloud_break,0.153
202,donchian_rsi,h1_trend_m5_macd,0.155
468,fib_ema_bounce,pin_bar_ema,0.155
358,ema_stochastic,ichimoku_cloud_bounce,0.155
668,heikin_ashi_ema,three_bar_reversal,0.156
147,breakout_retest,stoch_ema_trend,0.156
273,ema_ribbon_pullback,williams_ema,0.156
794,macd_ema_trend,williams_ema,0.157
141,breakout_retest,pin_bar_ema,0.157
865,parabolic_sar_ema,triple_confirm,0.157
341,ema_stoch_cross,supertrend_rsi_ema,0.158
377,ema_stochastic,supertrend_rsi_ema,0.158
567,h1_trend_m5_ema_cross,triple_confirm,0.16
205,donchian_rsi,heikin_ashi_ema,0.16
214,donchian_rsi,rsi_divergence_ema,0.16
784,macd_ema_trend,pin_bar_ema,0.16
380,ema_stochastic,trend_momentum_vol,0.161
944,trend_momentum_vol,williams_ema,0.162
247,ema_macd_rsi_confluence,stoch_ema_trend,0.163
49,adx_rsi_ema,ema_stoch_cross,0.163
697,ichimoku_cloud_break,parabolic_sar_ema,0.164
740,ma_ribbon_pullback,williams_ema,0.164
933,stoch_ema_trend,triple_confirm,0.165
462,fib_ema_bounce,macd_ema_trend,0.165
569,h1_trend_m5_ema_cross,williams_ema,0.165
229,ema_macd_rsi_confluence,h1_trend_m5_ema_cross,0.166
762,macd_divergence,macd_histogram_div,0.166
758,macd_bb_breakout,triple_confirm,0.168
112,bb_rsi_bounce,stoch_divergence,0.168
349,ema_stochastic,engulfing_ema,0.168
479,h1_adx_m5_ema,h1_trend_m5_macd,0.168
671,heikin_ashi_ema,williams_ema,0.169
866,parabolic_sar_ema,tweezer_reversal,0.169
13,adx_di_ema,h1_adx_m5_ema,0.17
197,donchian_rsi,engulfing_ema,0.17
743,macd_bb_breakout,marubozu_trend,0.171
315,ema_stoch_cross,fib_ema_bounce,0.172
564,h1_trend_m5_ema_cross,three_bar_reversal,0.172
164,cci_ema,h1_trend_m5_rsi,0.172
591,h1_trend_m5_macd,three_bar_reversal,0.174
821,marubozu_trend,stoch_ema_trend,0.175
143,breakout_retest,rsi_divergence_ema,0.176
727,ma_ribbon_pullback,macd_bb_breakout,0.176
930,stoch_ema_trend,three_bar_reversal,0.177
444,engulfing_ema,stoch_ema_trend,0.178
314,ema_stoch_cross,engulfing_ema,0.18
71,adx_rsi_ema,rsi_divergence_ema,0.182
100,bb_rsi_bounce,macd_divergence,0.182
346,ema_stoch_cross,tweezer_reversal,0.183
582,h1_trend_m5_macd,parabolic_sar_ema,0.184
860,parabolic_sar_ema,stoch_ema_trend,0.185
235,ema_macd_rsi_confluence,macd_bb_breakout,0.186
746,macd_bb_breakout,parabolic_sar_ema,0.188
489,h1_adx_m5_ema,macd_ema_trend,0.188
224,ema_macd_rsi_confluence,ema_stochastic,0.192
512,h1_trend_m5_bb,h1_trend_m5_stoch,0.192
780,macd_ema_trend,marubozu_trend,0.194
381,ema_stochastic,triple_confirm,0.195
475,fib_ema_bounce,three_bar_reversal,0.195
435,engulfing_ema,momentum_exhaustion,0.196
323,ema_stoch_cross,ichimoku_cloud_bounce,0.196
575,h1_trend_m5_macd,keltner_rsi,0.197
874,pin_bar_ema,supertrend_rsi_ema,0.197
140,breakout_retest,parabolic_sar_ema,0.197
681,ichimoku_cloud_bounce,rsi_divergence_ema,0.198
717,keltner_rsi,parabolic_sar_ema,0.2
705,ichimoku_cloud_break,supertrend_rsi_ema,0.2
311,ema_rsi_cross,williams_ema,0.202
651,heikin_ashi_ema,keltner_rsi,0.202
932,stoch_ema_trend,trend_momentum_vol,0.203
260,ema_ribbon_pullback,macd_bb_breakout,0.206
877,pin_bar_ema,trend_momentum_vol,0.206
127,breakout_retest,fib_ema_bounce,0.208
347,ema_stoch_cross,williams_ema,0.211
781,macd_ema_trend,momentum_exhaustion,0.211
206,donchian_rsi,ichimoku_cloud_break,0.213
793,macd_ema_trend,tweezer_reversal,0.216
679,ichimoku_cloud_bounce,pin_bar_ema,0.217
136,breakout_retest,macd_bb_breakout,0.219
267,ema_ribbon_pullback,rsi_divergence_ema,0.22
734,ma_ribbon_pullback,rsi_divergence_ema,0.221
837,momentum_exhaustion,tweezer_reversal,0.222
731,ma_ribbon_pullback,parabolic_sar_ema,0.222
708,ichimoku_cloud_break,trend_momentum_vol,0.224
899,rsi_divergence_ema,trend_momentum_vol,0.224
704,ichimoku_cloud_break,stoch_ema_trend,0.225
900,rsi_divergence_ema,triple_confirm,0.227
822,marubozu_trend,supertrend_rsi_ema,0.23
946,tweezer_reversal,williams_ema,0.233
835,momentum_exhaustion,supertrend_rsi_ema,0.233
65,adx_rsi_ema,marubozu_trend,0.234
864,parabolic_sar_ema,trend_momentum_vol,0.237
550,h1_trend_m5_ema_cross,macd_ema_trend,0.239
694,ichimoku_cloud_break,marubozu_trend,0.239
63,adx_rsi_ema,macd_ema_trend,0.239
429,engulfing_ema,keltner_rsi,0.24
938,three_bar_reversal,tweezer_reversal,0.24
226,ema_macd_rsi_confluence,engulfing_ema,0.241
783,macd_ema_trend,parabolic_sar_ema,0.241
449,engulfing_ema,triple_confirm,0.242
271,ema_ribbon_pullback,stoch_ema_trend,0.243
243,ema_macd_rsi_confluence,rsi_divergence_ema,0.244
688,ichimoku_cloud_break,keltner_rsi,0.245
211,donchian_rsi,parabolic_sar_ema,0.246
162,cci_ema,h1_trend_m5_ema_cross,0.246
685,ichimoku_cloud_bounce,stoch_ema_trend,0.247
52,adx_rsi_ema,engulfing_ema,0.247
712,keltner_rsi,macd_bb_breakout,0.248
934,stoch_ema_trend,tweezer_reversal,0.248
324,ema_stoch_cross,ichimoku_cloud_break,0.249
732,ma_ribbon_pullback,pin_bar_ema,0.25
430,engulfing_ema,ma_ribbon_pullback,0.252
75,adx_rsi_ema,stoch_ema_trend,0.253
867,parabolic_sar_ema,williams_ema,0.254
160,cci_ema,h1_adx_m5_ema,0.254
448,engulfing_ema,trend_momentum_vol,0.254
511,h1_trend_m5_bb,h1_trend_m5_rsi,0.256
738,ma_ribbon_pullback,stoch_ema_trend,0.258
696,ichimoku_cloud_break,morning_evening_star,0.261
192,cci_ema,williams_ema,0.263
66,adx_rsi_ema,momentum_exhaustion,0.264
823,marubozu_trend,three_bar_reversal,0.264
540,h1_trend_m5_ema_cross,h1_trend_m5_macd,0.265
670,heikin_ashi_ema,triple_confirm,0.265
426,engulfing_ema,heikin_ashi_ema,0.266
791,macd_ema_trend,supertrend_rsi_ema,0.266
474,fib_ema_bounce,stoch_ema_trend,0.27
428,engulfing_ema,ichimoku_cloud_break,0.27
929,stoch_ema_trend,supertrend_rsi_ema,0.27
69,adx_rsi_ema,pin_bar_ema,0.271
710,ichimoku_cloud_break,tweezer_reversal,0.271
666,heikin_ashi_ema,stoch_ema_trend,0.272
241,ema_macd_rsi_confluence,pin_bar_ema,0.272
878,pin_bar_ema,triple_confirm,0.273
322,ema_stoch_cross,heikin_ashi_ema,0.273
173,cci_ema,macd_ema_trend,0.274
59,adx_rsi_ema,heikin_ashi_ema,0.274
689,ichimoku_cloud_break,ma_ribbon_pullback,0.274
233,ema_macd_rsi_confluence,heikin_ashi_ema,0.274
445,engulfing_ema,supertrend_rsi_ema,0.275
149,breakout_retest,tweezer_reversal,0.276
264,ema_ribbon_pullback,parabolic_sar_ema,0.28
667,heikin_ashi_ema,supertrend_rsi_ema,0.283
457,fib_ema_bounce,heikin_ashi_ema,0.285
714,keltner_rsi,macd_ema_trend,0.287
220,donchian_rsi,tweezer_reversal,0.288
674,ichimoku_cloud_bounce,macd_ema_trend,0.288
676,ichimoku_cloud_bounce,marubozu_trend,0.29
207,donchian_rsi,macd_bb_breakout,0.292
427,engulfing_ema,ichimoku_cloud_bounce,0.295
656,heikin_ashi_ema,marubozu_trend,0.298
238,ema_macd_rsi_confluence,marubozu_trend,0.299
